year,month,cases_vax,cases_pvax,cases_fvax,cases_new
2020,1,0,0,0,8
2020,2,0,0,0,17
2020,3,0,0,0,2741
2020,4,0,0,0,3236
2020,5,0,0,0,1817
2020,6,0,0,0,820
2020,7,0,0,0,337
2020,8,0,0,0,364
2020,9,0,0,0,1884
2020,10,0,0,0,20324
2020,11,0,0,0,34149
2020,12,0,0,0,47313
2021,1,2,2,0,101949
2021,2,1,1,0,85793
2021,3,326,321,5,44748
2021,4,682,534,148,63213
2021,5,4477,2763,1714,163644
2021,6,10510,7138,3372,179622
2021,7,79855,62997,16858,361293
2021,8,287320,194241,93079,632982
2021,9,301373,100164,201209,499441
2021,10,52768,9292,43476,93899
