monthly,cases_vax,cases_fvax,cases_pvax,cases_new,percentage
2020-01,0,0,0,8,0
2020-02,0,0,0,17,0
2020-03,0,0,0,2741,0
2020-04,0,0,0,3236,0
2020-05,0,0,0,1817,0
2020-06,0,0,0,820,0
2020-07,0,0,0,337,0
2020-08,0,0,0,364,0
2020-09,0,0,0,1884,0
2020-10,0,0,0,20324,0
2020-11,0,0,0,34149,0
2020-12,0,0,0,47313,0
2021-01,2,0,2,101949,0.001961765
2021-02,1,0,1,85793,0.001165596
2021-03,326,5,321,44748,0.72852418
2021-04,682,148,534,63213,1.078892
2021-05,4477,1714,2763,163644,2.735816773
2021-06,10510,3372,7138,179622,5.851176359
2021-07,79855,16858,62997,361293,22.10255942
2021-08,287320,93079,194241,632982,45.39149612
2021-09,301373,201209,100164,499441,60.34206243
2021-10,52768,43476,9292,93899,56.19655161
