State,Total Cases,Total Deaths,Latitude,Longitude
Selangor,686170,9504,3.0972,101.6159
Sarawak,221042,1060,2.5718731038146347,110.43490554261834
Sabah,203488,2384,5.336050374527658,114.0707643707862
Johor,202932,3479,2.0229012,103.3147721
Kuala Lumpur,187551,2526,3.1516964,101.6942371
Kedah,139052,1918,5.8098265,100.6715035
Penang,135168,1502,5.4065013,100.2559077
Kelantan,122535,930,5.4021302,102.0635972
Perak,107163,994,4.812181,100.9797908
Negeri Sembilan,98444,1209,2.7831895,102.1925319
Pahang,68975,620,3.6168822,102.5994547
Terengganu,60384,414,4.8630743,102.9949297
Melaka,60070,875,2.3293744,102.2880962
Putrajaya,6349,23,2.9140567,101.6838531
Perlis,4422,94,6.4868392,100.2577623
